# agency_id|agency_name
CSREES|Cooperative State Research, Education, and Extension Service
DARS|Defense Acquisition Regulations System
DBCRC|Defense Base Closure and Realignment Commission
DC|Denali Commission
DCAA|Defense Contract Audit Agency
DEA|Drug Enforcement Administration
DEPO|Disability Employment Policy Office
DFC|Development Finance Corporation
DHS|Department of Homeland Security
DIA|Defense Intelligence Agency
DISA|Defense Information Systems Agency
DLA|Defense Logistics Agency
DNFSB|Defense Nuclear Facilities Safety Board
DOC|Department of Commerce
DOD|Department of Defense
DOE|Department of Energy
DOI|Department of the Interior
DOJ|Department of Justice
DOL|Department of Labor
DOS|U.S. Department of State
DOT|Department of Transportation
DRBC|Delaware River Basin Commission
EAB|Bureau of Economic Analysis
EAC|Election Assistance Commission
EBSA|Employee Benefits Security Administration
ECAB|Employees' Compensation Appeals Board
ECSA|Economics and Statistics Administration
ED|Department of Education
EDA|Economic Development Administration
EEOC|Equal Employment Opportunity Commission
EERE|Energy Efficiency and Renewable Energy Office
EIA|Energy Information Administration
EIB|Export Import Bank of the United States
EOA|Energy Office, Agriculture Department
EOIR|Executive Office for Immigration Review
EOP|Executive Office of the President
EPA|Environmental Protection Agency
ERS|Economic Research Service
ESA|Employment Standards Administration
ETA|Employment and Training Administration
FAA|Federal Aviation Administration
FAR|Federal Acquisition Regulation 
FAS|Foreign Agricultural Service
FASAB|Federal Accounting Standards Advisory Board
FBI|Federal Bureau of Investigation
FCA|Farm Credit Administration
FCC|Federal Communications Commission
FCIC|Federal Crop Insurance Corporation
FCSC|Foreign Claims Settlement Commission
FCSIC|Farm Credit System Insurance Corporation
FDA|Food and Drug Administration
FDIC|Federal Deposit Insurance Corporation
FEC|Federal Election Commission
FEMA|Federal Emergency Management Agency
FERC|Federal Energy Regulatory Commission
FFIEC|Federal Financial Institutions Examination Council
FHFA|Federal Housing Finance Agency
FHFB|Federal Housing Finance Board
FHWA|Federal Highway Administration
FINCEN|Financial Crimes Enforcement Network
FINCIC|Financial Crisis Inquiry Commission
FIRSTNET|First Responder Network Authority
FISCAL|Fiscal Service
FLETC|Federal Law Enforcement Training Center
FLRA|Federal Labor Relations Authority
FMC|Federal Maritime Commission
FMCS|Federal Mediation and Conciliation Service
FMCSA|Federal Motor Carrier Safety Administration
FNS|Food and Nutrition Service
FPAC|Farm Production and Conservation Business Center
FPPO|Federal Procurement Policy Office
FR|Office of Federal Register
FRA|Federal Railroad Administration
FRS|Federal Reserve System
FRTIB|Federal Retirement Thrift Investment Board
FS|Forest Service
FSA|Farm Service Agency
FSIS|Food Safety and Inspection Service
FSOC|Financial Stability Oversight Council
FTA|Federal Transit Administration
FTC|Federal Trade Commission
FTZB|Foreign-trade Zones Board
FWS|Fish and Wildlife Service
GAO|Government Accountability Office
GAPFAC|Gsa Acquisition Policy Federal Advisory Committee
GCERC|Gulf Coast Ecosystem Restoration Council
GEO|Government Ethics Office
GIPSA|Grain Inspection, Packers and Stockyards Administration
GPO|Government Printing Office
GSA|General Services Administration
HHS|Department of Health and Human Services
HHSIG|Inspector General Office, Health and Human Services Department
HOPE|Board of Directors of the Hope for Homeowners Program
HPAC|Historic Preservation, Advisory Council
HRSA|Health Resources and Services Administration
HST|Harry S. Truman Scholarship Foundation
HUD|Department of Housing and Urban Development
IACB|Indian Arts and Crafts Board
IAF|Inter-American Foundation
IAIA|Institute of American Indian and Alaska Native Culture and Arts Development
ICEB|Immigration and Customs Enforcement Bureau
IHS|Indian Health Service
IIO|International Investment Office
IPEC|Office of the Intellectual Property Enforcement Coordinator
IRS|Internal Revenue Service
ISOO|Information Security Oversight Office
ITA|International Trade Administration
ITC|International Trade Commission
JBEA|Joint Board for Enrollment of Actuaries
LMSO|Labor-management Standards Office
LOC|Library of Congress
LSC|Legal Services Corporation
MARAD|Maritime Administration
MBDA|Minority Business Development Agency
MCC|Millennium Challenge Corporation
MCRMC|Military Compensation and Retirement Modernization Commission
MEXICO|U.S. International Boundary and Water Commission
MISS|Mississippi River Commission
MKU|Morris K. Udall Scholarship and Excellence in National Environmental Policy Foundation
MMC|Marine Mammal Commission
MMS|Minerals Management Service
MPAC|Medicare Payment Advisory Commission
MSHA|Mine Safety and Health Administration
MSHFRC|Federal Mine Safety and Health Review Commission
MSPB|Merit Systems Protection Board
NAL|National Agricultural Library
NARA|National Archives and Records Administration
NASA|National Aeronautics and Space Administration
NASS|National Agricultural Statistics Service
NCC|National Counterintelligence Center
NCD|National Council on Disability
NCLIS|National Commission on Libraries and Information Science
NCMNPS|National Commission on Military, National, and Public Service
NCPC|National Capital Planning Commission
NCPPCC|National Crime Prevention and Privacy Compact Council
NCRIRS|National Commission on Restructuring the Internal Revenue Service
NCS|National Communications System
NCUA|National Credit Union Administration
NEC|National Economic Council
NEIGHBOR|Neighborhood Reinvestment Corporation
NEO|Nuclear Energy Office
NHTSA|National Highway Traffic Safety Administration
NIC|National Institute of Corrections
NIFA|National Institute of Food and Agriculture
NIGC|National Indian Gaming Commission
NIH|National Institutes of Health
NIL|National Institute for Literacy
NIST|National Institute of Standards and Technology
NLRB|National Labor Relations Board
NMB|National Mediation Board
NNCO|National Nanotechnology Coordination Office
NNSA|National Nuclear Security Administration
NOAA|National Oceanic and Atmospheric Administration
NPREC|National Prison Rape Elimination Commission
NPS|National Park Service
NRC|Nuclear Regulatory Commission
NRCS|Natural Resources Conservation Service
NRPC|National Railroad Passenger Corporation
NSA|National Security Agency/central Security Service
NSCAI|National Security Commission on Artificial Intelligence
NSF|National Science Foundation
NSPC|National Space Council
NTIA|National Telecommunications and Information Administration
NTSB|National Transportation Safety Board
NWBC|National Women's Business Council
NWTRB|Nuclear Waste Technical Review Board
OCC|Comptroller of the Currency
ODNI|Office of the Director of National Intelligence
OEPNU|Office of Energy Policy and New Uses
OFAC|Office of Foreign Assets Control 
OFCCP|Office of Federal Contract Compliance Programs
OFHEO|Federal Housing Enterprise Oversight Office
OFPP|Office of Federal Procurement Policy
OFR|Office of the Federal Register
OJJDP|Juvenile Justice and Delinquency Prevention Office
OJP|Justice Programs Office
OMB|Office of Management and Budget
ONCD|Office of the National Cyber Director
ONDCP|Office of National Drug Control Policy
ONHIR|Office of Navajo and Hopi Indian Relocation
ONRR|Office of Natural Resources Revenue
OPIC|Overseas Private Investment Corporation
OPM|Office of Personnel Management
OPPM|Office of Procurement and Property Management
OSC|Office of Special Counsel
OSHA|Occupational Safety and Health Administration
OSHRC|Occupational Safety and Health Review Commission
OSM|Office of Surface Mining Reclamation and Enforcement
OST|Office of the Special Trustee for American Indians
OSTP|Office of Science and Technology Policy
OTS|Office of Thrift Supervision
PACIFIC|Pacific Northwest Electric Power and Conservation Planning Council
PBGC|Pension Benefit Guaranty Corporation
PBRB|Public Buildings Reform Board
PC|Peace Corps
PCLOB|Privacy and Civil Liberties Oversight Board
PCSCOTUS|Presidential Commission on the Supreme Court of the United States
PHMSA|Pipeline and Hazardous Materials Safety Administration
PHS|Public Health Service
PRC|Postal Regulatory Commission
PRES|Presidential Documents
PT|Presidio Trust
PTO|Patent and Trademark Office
RATB|Recovery Accountability and Transparency Board
RBS|Rural Business-Cooperative Service
RHS|Rural Housing Service
RISC|Regulatory Information Service Center
RITA|Research and Innovative Technology Administration
RMA|Risk Management Agency
RRB|Railroad Retirement Board
RSPA|Research and Special Programs Administration (do Not Use)
RTB|Rural Telephone Bank
RUF|Reagan Udall Foundation
RUS|Rural Utilities Service
SAMHSA|Substance Abuse and Mental Health Services Administration
SBA|Small Business Administration
SEC|Securities and Exchange Commission
SEPA|Southeastern Power Administration
SIGAR|Special Inspector General for Afghanistan Reconstruction
SIGIR|Special Inspector General for Iraq Reconstruction
SJI|State Justice Institute
SLSDC|Saint Lawrence Seaway Development Corporation
SRBC|Susquehanna River Basin Commission
SS|Secret Service
SSA|Social Security Administration
SSS|Selective Service System
STB|Surface Transportation Board
SWPA|Southwestern Power Administration
TA|Technology Administration
TRADE|Trade and Development Agency
TREAS|Department of the Treasury
TSA|Transportation Security Administration
TTB|Alcohol and Tobacco Tax and Trade Bureau
TVA|Tennessee Valley Authority
URMCC|Utah Reclamation Mitigation and Conservation Commission
USA|Army Department
USAF|Air Force Department
USAGM|United States Agency for Global Media
USBC|Bureau of the Census
USC|United States Courts
USCBP|Customs and Border Protection Bureau
USCC|U.S. China Economic and Security Review Commission
USCG|Coast Guard
USCIS|U.S. Citizenship and Immigration Services
USDA|Department of Agriculture
USDAIG|Inspector General Office, Agriculture Department
USEIB|Export-import Bank
USGS|U. S. Geological Survey
USIP|United States Institute of Peace
USJC|Judicial Conference of the United States
USMINT|United States Mint
USN|Navy Department
USOPC|United States Olympic and Paralympic Committee
USPC|Parole Commission
USPS|Postal Service
USSC|United States Sentencing Commission
USTR|Office of United States Trade Representative
USUHS|Uniformed Services University of the Health Sciences
VA|Department of Veterans Affairs
VCNP|Valles Caldera Trust
VETS|Veterans Employment and Training Service
WAPA|Western Area Power Administration
WCPO|Workers Compensation Programs Office
WHD|Wage and Hour Division
